"","year","da","NUM_COLLISIONS","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","tornado_funnel_cloud","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Sat","Sun","Thu","Tue","Wed"
"57",2021,13,245,35.8,25.2,1016.4,10,5.8,9.9,999.9,42.1,27,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"58",2017,20,605,39.9,32.5,1015.5,10,4.3,9.9,999.9,45,37,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"59",2013,13,373,45.4,44.9,1020.7,4.3,5.8,9.9,999.9,46.9,44.1,0.01,999.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"60",2013,29,542,35.4,34.9,1019,2.6,4.9,9.9,999.9,37.4,33.1,0.08,999.9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"61",2014,10,667,28.8,22.6,1034.1,9.7,5.8,11.1,999.9,39.2,12.9,0,999.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"62",2022,31,311,22.9,6.6,1025.3,10,5.9,11.1,999.9,30,12,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"63",2021,14,253,41.3,35.5,1011.5,8.8,5.7,11.1,999.9,46,30.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"64",2020,23,451,32.3,26.5,1029.2,9.7,4.7,11.1,999.9,45,17.1,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"65",2014,16,521,40.8,39.3,1010.6,4.6,5.9,11.1,999.9,46,32,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"66",2013,9,487,39.9,37.6,1026.2,6.8,5.3,11.1,999.9,46,28,0,999.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"67",2021,15,272,41.3,35.3,1015.4,8.7,6.6,11.1,999.9,46,34,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"68",2018,22,559,36.4,35.9,1023.6,7.6,4,11.1,999.9,48.9,27,0,999.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"69",2022,1,283,50.4,47.4,1013.2,7,5.9,11.1,999.9,54,46.9,0.02,999.9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",2013,11,660,38,31.4,1030.6,10,5.4,11.1,999.9,44.1,32,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"71",2015,22,508,35.5,30.5,1021,8.4,8.4,12,999.9,39,25,0.13,999.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"72",2018,3,645,25.6,18.3,1025.1,10,6.7,12,999.9,35.1,10.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"73",2018,21,418,39.7,31.7,1018.2,10,7.2,12,999.9,48.9,28,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"74",2016,17,451,40.2,32.3,1007.3,9.2,7.7,12,18.1,51.1,36,0.77,999.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"75",2014,13,568,38.6,31.2,1018.7,9.2,7.7,12,999.9,46.9,28.9,0.01,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"76",2014,9,561,23.5,8.3,1034.2,10,7.9,12,20,28.9,12,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"77",2018,11,696,38.5,38,1030.1,10,8.6,12,999.9,45,21.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"78",2017,2,449,37.4,28.7,1032,10,7.1,12,999.9,50,26.1,0.03,999.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"79",2019,19,479,34.5,29.7,1022,9.8,6.9,13,21,39.9,30.9,0.07,999.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",2015,11,341,27.1,12.1,1035.5,10,8.8,13,17.1,37,19.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"81",2019,15,618,29.4,18.7,1017.5,10,7.4,13,999.9,35.1,21.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"82",2017,6,600,31.7,25.8,1015.2,6.1,8.9,13,999.9,41,28.9,0.03,999.9,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"83",2015,29,519,29.2,20.9,1022.9,10,8.5,13,20,36,19,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"84",2015,21,495,32.3,17.7,1018.1,10,7.9,13,999.9,39,25,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"85",2019,13,374,26,12.8,1030.5,10,8,13,15.9,30.9,18,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"86",2019,18,596,33.2,28.1,1023,8.3,6.8,13,999.9,39.9,23,0,999.9,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"87",2016,15,722,36.5,25.6,1014.8,10,7.2,13,999.9,45,24.1,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
