"","day","year","mo","da","collision_date","NUM_COLLISIONS","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","tornado_funnel_cloud"
"136",6,2017,1,21,"2017-01-21",475,42.3,37.5,1011.3,6.7,7.5,17.1,20,46,37,0,999.9,1,1,0,0,0,0
"137",4,2021,1,7,"2021-01-07",285,36.5,26.1,1012.8,10,11.9,17.1,22,41,33.1,0,999.9,0,0,0,0,0,0
"138",7,2018,1,14,"2018-01-14",494,27,21.7,1028.8,10,14.5,17.1,25.1,30.9,24.8,0.01,999.9,0,0,0,0,0,0
"139",3,2020,1,29,"2020-01-29",495,35.3,22.5,1013.1,10,12.9,17.1,22.9,43,30,0,999.9,0,0,0,0,0,0
"141",3,2021,1,20,"2021-01-20",253,34.7,25.5,1013,9.5,9.2,17.1,21,41,28.9,0.01,999.9,1,0,0,0,1000,1000
"142",6,2015,1,3,"2015-01-03",456,34.5,19.8,1033.9,9.5,11.1,17.1,26,45,30,0,999.9,0,1,1,0,0,0
"144",5,2016,1,1,"2016-01-01",393,41.2,28,1015.1,9.8,10.2,17.1,24.1,44.1,37.4,0.43,999.9,0,1,0,0,0,0
"145",4,2022,1,27,"2022-01-27",270,25.5,12.9,1029.6,10,9.8,17.1,25.1,34,21.9,0,999.9,0,0,0,0,0,0
"146",2,2013,1,8,"2013-01-08",513,39.8,34.1,1028.8,9.8,10.4,17.1,25.1,48,25,0,999.9,0,0,0,0,0,0
"147",1,2014,1,27,"2014-01-27",511,38.8,32.3,1008,8.8,12.3,17.1,22.9,45,21,0,999.9,0,0,0,0,0,0
"148",5,2020,1,10,"2020-01-10",522,39.7,32.2,1036.6,9.3,11.3,17.1,24.1,50,21,0,999.9,0,0,0,0,0,0
"149",6,2015,1,10,"2015-01-10",481,26.9,10,1025,10,10.2,17.1,22,30,21.9,0,999.9,0,0,0,0,0,0
"150",1,2013,1,7,"2013-01-07",521,35.9,31,1020.5,8.8,8.5,17.1,22,42.1,28,0.01,999.9,0,0,0,0,0,0
"151",4,2015,1,15,"2015-01-15",548,35.8,33.6,1015.5,2.8,14.1,17.1,24.1,37.9,28,0.03,999.9,0,1,1,0,0,0
"153",4,2022,1,6,"2022-01-06",232,45.9,37.8,1008.6,8.2,10.8,17.1,24.1,53.1,37,0.68,999.9,1,0,0,0,0,10000
